stamp,doc_type,n_sentences,n_directional,tone_finbert,tone_direction,tone_finbert_aug,chair
2021-12-15 14:30:00,speech,537.0,11.0,-0.009263617144394632,0.5454545454545454,0.005254921779119769,Powell
2022-01-05 14:00:00,minutes,313.0,11.0,-0.06800583908899714,0.1290909090909091,-0.061830297445479666,Powell
2022-01-26 14:00:00,statement,19.0,1.0,-0.05450131293190153,0.5,-0.0035619584745482393,Powell
2022-01-26 14:30:00,speech,527.0,9.0,-0.030376288902007425,0.5555555555555556,-0.018108381000851093,Powell
2022-02-16 14:00:00,minutes,428.0,14.0,-0.04202032259395607,0.2857142857142857,-0.015466835380262025,Powell
2022-03-02 08:30:00,speech,44.0,2.0,0.007596600462089886,0.5,0.04179374297911471,Powell
2022-03-16 14:00:00,statement,15.0,2.0,0.07774963999787966,0.75,0.2596366785466671,Powell
2022-03-16 14:30:00,speech,505.0,13.0,-0.049697142415265044,0.46153846153846156,-0.034018662678870826,Powell
2022-03-21 12:30:00,speech,110.0,3.0,0.06111032133075324,0.6666666666666666,0.1001246586103331,Powell
2022-04-06 14:00:00,minutes,276.0,16.0,-0.011464466340839863,0.71875,0.07304290302799664,Powell
2022-05-04 14:00:00,statement,17.0,1.0,0.23989405702142155,0.5,0.32046978263293996,Powell
2022-05-04 14:30:00,speech,465.0,7.0,0.012931127846240998,0.42857142857142855,0.020107346020078146,Powell
2022-05-25 14:00:00,minutes,273.0,17.0,-0.0328438936122062,0.6323529411764706,0.05038236499842488,Powell
2022-06-15 14:00:00,statement,17.0,2.0,0.07853756012285457,0.75,0.24240727240548415,Powell
2022-06-15 14:30:00,speech,468.0,13.0,-0.014003751114902332,0.46153846153846156,0.014383354821266273,Powell
2022-06-22 09:30:00,speech,47.0,2.0,-0.15944803644843558,0.75,-0.0886733011600185,Powell
2022-07-06 14:00:00,minutes,262.0,20.0,0.09549277114418854,0.6,0.14855303493762062,Powell
2022-07-27 14:00:00,statement,14.0,1.0,0.17800045811704227,0.5,0.2768513469823769,Powell
2022-07-27 14:30:00,speech,549.0,7.0,0.04781714390847961,0.35714285714285715,0.05611106079879246,Powell
2022-08-17 14:00:00,minutes,286.0,19.0,0.12401445831295911,0.39473684210526316,0.16320271275520742,Powell
2022-08-26 10:00:00,speech,61.0,2.0,0.006291358136251325,0.75,0.05134757516569779,Powell
2022-09-21 14:00:00,statement,14.0,1.0,0.09043509353484426,0.5,0.1881053378539426,Powell
2022-09-21 14:30:00,speech,343.0,17.0,0.02669074227789053,0.38235294117647056,0.05560730528032119,Powell
2022-10-12 14:00:00,minutes,249.0,23.0,0.010269324448573062,0.5434782608695652,0.10241090142762804,Powell
2022-11-02 14:00:00,statement,16.0,3.0,0.0546551306033507,0.5,0.22709217062219977,Powell
2022-11-02 14:30:00,speech,400.0,13.0,0.040232692980207506,0.5384615384615384,0.06763205230701715,Powell
2022-11-23 14:00:00,minutes,265.0,29.0,0.03335319522697971,0.5,0.11451996011694647,Powell
2022-11-30 13:30:00,speech,133.0,2.0,0.14346716299484996,0.75,0.1659385662637931,Powell
2022-12-14 14:00:00,statement,16.0,3.0,0.049039180972613394,0.5,0.22672503581270576,Powell
2022-12-14 14:30:00,speech,439.0,8.0,0.007725137576528725,0.375,0.020062474491486244,Powell
2023-01-04 14:00:00,minutes,256.0,23.0,0.10833964584890055,0.22826086956521738,0.1500325701199472,Powell
2023-02-01 14:00:00,statement,15.0,3.0,-0.1516777406136195,0.5,0.03684837271769841,Powell
2023-02-01 14:30:00,speech,433.0,6.0,-0.016746988489914162,0.625,-0.0016309141114732686,Powell
2023-02-22 14:00:00,minutes,271.0,23.0,0.09165053407067082,0.5,0.14721252793288098,Powell
2023-03-07 10:00:00,speech,48.0,5.0,0.05558701581321657,0.6,0.13676751009188592,Powell
